"Date","Price","Open","High","Low","Vol.","Change %"
"02/17/2025","19.3043","19.2561","19.3488","19.2227","","0.35%"
"02/14/2025","19.2363","19.3462","19.4414","19.2006","","-0.53%"
"02/13/2025","19.3388","19.2388","19.3837","19.2098","","0.55%"
"02/12/2025","19.2331","19.1589","19.2834","19.0957","","0.49%"
"02/11/2025","19.1397","19.0104","19.1975","18.9759","","0.77%"
"02/10/2025","18.9940","19.0788","19.2037","18.9391","","-0.12%"
"02/07/2025","19.0168","19.1456","19.1992","18.9782","","-0.59%"
"02/06/2025","19.1298","19.3013","19.3975","19.1225","","-0.80%"
"02/05/2025","19.2849","19.3804","19.4235","19.2682","","-0.47%"
"02/04/2025","19.3765","19.3663","19.4211","19.2981","","0.12%"
"02/03/2025","19.3542","19.2184","19.5328","19.2137","","0.14%"
"01/31/2025","19.3265","19.3107","19.4312","19.2514","","0.17%"
"01/30/2025","19.2930","19.3149","19.3610","19.2203","","0.01%"
"01/29/2025","19.2907","19.4822","19.5349","19.2850","","-0.89%"
"01/28/2025","19.4645","19.6546","19.6965","19.4447","","-0.87%"
"01/27/2025","19.6360","19.3075","19.7209","19.2970","","1.79%"
"01/24/2025","19.2899","19.2839","19.3660","19.1822","","0.10%"
"01/23/2025","19.2714","19.2419","19.3497","19.2290","","0.15%"
"01/22/2025","19.2425","19.2994","19.3500","19.2268","","-0.21%"
"01/21/2025","19.2824","19.3028","19.3904","19.2204","","-0.03%"
"01/20/2025","19.2889","19.2606","19.4066","19.2305","","0.22%"
"01/17/2025","19.2470","19.3956","19.4070","19.2191","","-0.61%"
"01/16/2025","19.3643","19.3234","19.4436","19.2712","","0.32%"
"01/15/2025","19.3021","19.5010","19.5316","19.2946","","-0.93%"
"01/14/2025","19.4836","19.5122","19.5639","19.3788","","-0.13%"
"01/13/2025","19.5092","19.5780","19.6483","19.4364","","-0.26%"
"01/10/2025","19.5604","19.5044","19.6947","19.4567","","0.40%"
"01/09/2025","19.4832","19.5133","19.5494","19.3962","","-0.04%"
"01/08/2025","19.4903","19.3341","19.5370","19.3132","","0.95%"
"01/07/2025","19.3075","19.3090","19.4086","19.2679","","0.06%"
"01/06/2025","19.2959","19.3396","19.3854","19.2092","","-0.10%"
"01/03/2025","19.3143","19.2267","19.3593","19.1936","","0.59%"
"01/02/2025","19.2009","19.4443","19.5446","19.1663","","-1.16%"
"01/01/2025","19.4257","19.5373","19.5560","19.4387","","-0.46%"
"12/31/2024","19.5160","19.5613","19.6524","19.4650","","-0.13%"
"12/30/2024","19.5407","19.5043","19.6304","19.4183","","0.33%"
"12/27/2024","19.4764","19.6343","19.6767","19.3841","","-0.66%"
"12/26/2024","19.6064","19.4271","19.6971","19.3057","","0.99%"
"12/25/2024","19.4149","19.4202","19.5438","19.4049","","0.10%"
"12/24/2024","19.3949","19.3113","19.4512","19.2286","","0.49%"
"12/23/2024","19.2999","19.0968","19.3486","19.0506","","1.14%"
"12/20/2024","19.0825","19.0734","19.1567","19.0014","","0.17%"
"12/19/2024","19.0501","18.9837","19.1502","18.9194","","0.43%"
"12/18/2024","18.9677","18.9865","19.0350","18.9056","","0.04%"
"12/17/2024","18.9605","18.7725","19.1035","18.7311","","1.13%"
"12/16/2024","18.7487","18.7758","18.8118","18.7228","","-0.03%"
"12/13/2024","18.7539","18.6255","18.8451","18.5931","","0.72%"
"12/12/2024","18.6196","18.5826","18.6823","18.4926","","0.28%"
"12/11/2024","18.5667","18.7477","18.8023","18.5492","","-0.92%"
"12/10/2024","18.7399","18.7644","18.8699","18.7269","","-0.08%"
"12/09/2024","18.7544","19.0476","19.0583","18.7254","","-1.59%"
"12/06/2024","19.0573","19.0704","19.1302","18.9876","","0.01%"
"12/05/2024","19.0545","19.0886","19.1271","18.9764","","-0.08%"
"12/04/2024","19.0697","19.0382","19.1206","19.0077","","0.33%"
"12/03/2024","19.0075","19.0403","19.1040","18.9919","","-0.07%"
"12/02/2024","19.0202","19.1045","19.2048","18.9802","","-0.36%"
"11/29/2024","19.0882","19.0987","19.1507","19.0121","","0.06%"
"11/28/2024","19.0773","19.2173","19.2583","19.0839","","-0.62%"
"11/27/2024","19.1971","19.0746","19.2807","18.9827","","0.75%"
"11/26/2024","19.0538","18.9473","19.1303","18.8626","","0.70%"
"11/25/2024","18.9222","18.8775","19.0019","18.7879","","0.32%"
"11/22/2024","18.8623","18.9671","18.9953","18.7239","","-0.47%"
"11/21/2024","18.9515","19.1045","19.1650","18.9177","","-0.79%"
"11/20/2024","19.1024","19.1271","19.1836","19.0229","","-0.07%"
"11/19/2024","19.1156","19.0359","19.1784","18.9681","","0.53%"
"11/18/2024","19.0143","19.1773","19.2115","18.9891","","-0.83%"
"11/15/2024","19.1741","19.2376","19.3077","19.1427","","-0.22%"
"11/14/2024","19.2167","19.2617","19.3517","19.1905","","-0.19%"
"11/13/2024","19.2527","19.2443","19.3034","19.0487","","0.16%"
"11/12/2024","19.2225","19.1069","19.2796","19.0823","","0.73%"
"11/11/2024","19.0830","18.8747","19.1496","18.8149","","1.23%"
"11/08/2024","18.8517","18.7028","18.9095","18.6611","","0.88%"
"11/07/2024","18.6872","18.8985","18.9977","18.6584","","-1.04%"
"11/06/2024","18.8829","19.0093","19.1651","18.8807","","-0.59%"
"11/05/2024","18.9954","19.0727","19.0931","18.9617","","-0.23%"
"11/04/2024","19.0389","19.1315","19.2274","19.0277","","-0.33%"
"11/01/2024","19.1013","19.1271","19.2089","19.0385","","-0.04%"
"10/31/2024","19.1094","19.1723","19.2926","19.1224","","-0.27%"
"10/30/2024","19.1605","19.1098","19.2322","19.0044","","0.37%"
"10/29/2024","19.0901","19.1327","19.1880","19.0497","","-0.12%"
"10/28/2024","19.1127","19.0674","19.2644","19.0060","","0.35%"
"10/25/2024","19.0458","19.1286","19.1758","19.0506","","-0.35%"
"10/24/2024","19.1124","19.1707","19.2216","19.0552","","-0.15%"
"10/23/2024","19.1417","18.9592","19.2695","18.8918","","1.12%"
"10/22/2024","18.9297","19.0516","19.0772","18.9076","","-0.56%"
"10/21/2024","19.0356","19.1196","19.1742","19.0226","","-0.44%"
"10/18/2024","19.1189","19.1642","19.2042","19.0262","","-0.09%"
"10/17/2024","19.1362","19.1371","19.2892","19.1127","","0.06%"
"10/16/2024","19.1239","19.2206","19.2461","19.1089","","-0.36%"
"10/15/2024","19.1934","19.1710","19.2638","19.1183","","0.24%"
"10/14/2024","19.1479","19.0485","19.2028","19.0108","","0.57%"
"10/11/2024","19.0387","19.1622","19.2163","18.9986","","-0.53%"
"10/10/2024","19.1406","19.3031","19.3538","19.1230","","-0.83%"
"10/09/2024","19.3007","19.2881","19.3717","19.2220","","0.20%"
"10/08/2024","19.2622","19.0778","19.3312","19.0233","","1.09%"
"10/07/2024","19.0551","19.1987","19.2100","19.0309","","-0.66%"
"10/04/2024","19.1822","19.3195","19.3529","19.1402","","-0.60%"
"10/03/2024","19.2984","19.1721","19.3759","19.0573","","0.81%"
"10/02/2024","19.1425","19.2572","19.3368","19.1106","","-0.58%"
"10/01/2024","19.2546","19.2409","19.3303","19.1166","","0.21%"
"09/30/2024","19.2144","19.0919","19.2778","19.0110","","0.63%"
"09/27/2024","19.0939","19.2013","19.2734","19.0527","","-0.40%"
"09/26/2024","19.1715","19.2286","19.2976","19.0863","","-0.19%"
"09/25/2024","19.2083","19.2997","19.4303","19.1800","","-0.43%"
"09/24/2024","19.2905","19.2761","19.3662","19.2057","","0.14%"
"09/23/2024","19.2627","19.4454","19.4516","19.2432","","-0.88%"
"09/20/2024","19.4344","19.5348","19.6366","19.4256","","-0.48%"
"09/19/2024","19.5275","19.5091","19.6028","19.4021","","0.18%"
"09/18/2024","19.4915","19.5606","19.6161","19.4771","","-0.27%"
"09/17/2024","19.5440","19.6154","19.6889","19.5417","","-0.30%"
"09/16/2024","19.6037","19.6705","19.7124","19.5868","","-0.26%"
"09/13/2024","19.6545","19.6773","19.7538","19.6058","","-0.11%"
"09/12/2024","19.6755","19.7110","19.8580","19.6579","","-0.12%"
"09/11/2024","19.6996","19.7759","19.8155","19.6871","","-0.32%"
"09/10/2024","19.7632","19.7271","19.8298","19.6660","","0.30%"
"09/09/2024","19.7041","19.7971","19.8679","19.7042","","-0.42%"
"09/06/2024","19.7867","19.6767","19.8270","19.6090","","0.59%"
"09/05/2024","19.6703","19.7965","19.8232","19.6169","","-0.58%"
"09/04/2024","19.7857","19.8591","19.9275","19.7333","","-0.31%"
"09/03/2024","19.8477","19.7362","19.8997","19.7003","","0.57%"
"09/02/2024","19.7343","19.6972","19.8400","19.6803","","0.24%"
"08/30/2024","19.6876","19.6695","19.7306","19.5145","","0.17%"
"08/29/2024","19.6551","19.8158","19.8520","19.5972","","-0.75%"
"08/28/2024","19.8036","19.8284","19.8708","19.7428","","-0.10%"
"08/27/2024","19.8229","19.7794","19.8858","19.7485","","0.25%"
"08/26/2024","19.7738","19.8307","19.9396","19.7399","","-0.23%"
"08/23/2024","19.8203","20.0156","20.0411","19.7843","","-0.91%"
"08/22/2024","20.0019","19.8853","20.0588","19.8790","","0.62%"
"08/21/2024","19.8779","19.8186","19.9601","19.7683","","0.34%"
"08/20/2024","19.8112","19.6264","19.8761","19.6127","","0.98%"
"08/19/2024","19.6198","19.6943","19.7563","19.5648","","-0.34%"
"08/16/2024","19.6877","19.7569","19.7757","19.6459","","-0.27%"
"08/15/2024","19.7404","19.9031","19.9350","19.7391","","-0.76%"
"08/14/2024","19.8913","19.9004","19.9612","19.8711","","0.01%"
"08/13/2024","19.8902","19.9582","19.9769","19.8182","","-0.27%"
"08/12/2024","19.9431","19.9980","20.0093","19.8589","","-0.22%"
"08/09/2024","19.9873","20.0556","20.0832","19.9636","","-0.27%"
"08/08/2024","20.0422","20.1019","20.1677","19.9881","","-0.19%"
"08/07/2024","20.0807","20.2224","20.2257","19.9403","","-0.66%"
"08/06/2024","20.2142","20.2912","20.3318","20.1318","","-0.34%"
"08/05/2024","20.2839","19.9413","20.4959","19.9237","","1.68%"
"08/02/2024","19.9497","19.7156","20.0184","19.6406","","1.20%"
"08/01/2024","19.7139","19.7087","19.7628","19.5692","","0.08%"
"07/31/2024","19.6989","19.8284","19.8534","19.6366","","-0.62%"
"07/30/2024","19.8221","19.9660","19.9918","19.7663","","-0.66%"
"07/29/2024","19.9542","19.8886","20.0185","19.7998","","0.48%"
"07/26/2024","19.8595","19.9073","19.9807","19.7702","","-0.17%"
"07/25/2024","19.8936","19.8685","20.1022","19.8562","","0.19%"
"07/24/2024","19.8558","19.9548","19.9991","19.8048","","-0.46%"
"07/23/2024","19.9466","19.8944","20.0550","19.8617","","0.32%"
"07/22/2024","19.8826","19.8875","19.9490","19.8326","","0.05%"
"07/19/2024","19.8721","19.9079","20.0016","19.8492","","-0.11%"
"07/18/2024","19.8938","19.9205","19.9543","19.7902","","-0.08%"
"07/17/2024","19.9105","19.7124","19.9667","19.6614","","1.07%"
"07/16/2024","19.7006","19.8278","19.9145","19.6462","","-0.57%"
"07/15/2024","19.8137","19.5818","19.9552","19.5704","","1.26%"
"07/12/2024","19.5670","19.5727","19.6516","19.5061","","0.06%"
"07/11/2024","19.5544","19.6317","19.6585","19.5177","","-0.33%"
"07/10/2024","19.6190","19.6341","19.6502","19.5277","","0.15%"
"07/09/2024","19.5900","19.6231","19.7159","19.5460","","-0.03%"
"07/08/2024","19.5950","19.6979","19.7440","19.5736","","-0.79%"
"07/05/2024","19.7507","19.7437","19.8179","19.6522","","0.14%"
"07/04/2024","19.7240","19.8799","19.9346","19.6967","","-0.72%"
"07/03/2024","19.8672","19.9796","20.0294","19.7752","","-0.53%"
"07/02/2024","19.9734","19.7390","20.0524","19.6661","","1.28%"
"07/01/2024","19.7203","19.4204","19.7595","19.3084","","1.23%"
"06/28/2024","19.4816","19.7717","19.8102","19.4049","","-1.41%"
"06/27/2024","19.7602","19.4212","19.8200","19.3812","","1.80%"
"06/26/2024","19.4113","19.5352","19.6335","19.3467","","-0.59%"
"06/25/2024","19.5262","19.4510","19.5707","19.3887","","0.44%"
"06/24/2024","19.4413","19.2064","19.5902","19.2036","","1.23%"
"06/21/2024","19.2055","19.2416","19.3015","19.0909","","-0.13%"
"06/20/2024","19.2299","19.3048","19.4806","19.2209","","-0.34%"
"06/19/2024","19.2950","19.3820","19.4044","19.2361","","-0.36%"
"06/18/2024","19.3643","19.5959","19.6196","19.3601","","-1.14%"
"06/17/2024","19.5870","19.6418","19.7069","19.4974","","-0.18%"
"06/14/2024","19.6226","19.7871","19.8326","19.5657","","-0.76%"
"06/13/2024","19.7733","19.8685","19.9384","19.7595","","-0.42%"
"06/12/2024","19.8568","19.9862","20.0823","19.8116","","-0.58%"
"06/11/2024","19.9718","20.1541","20.2251","19.8880","","-0.90%"
"06/10/2024","20.1522","20.3812","20.3960","20.0979","","-1.07%"
"06/07/2024","20.3693","20.6563","20.7073","20.3150","","-1.33%"
"06/06/2024","20.6444","20.5786","20.7087","20.5336","","0.38%"
"06/05/2024","20.5667","20.3558","20.6439","20.2887","","1.13%"
"06/04/2024","20.3378","20.1721","20.4163","20.1476","","0.88%"
"06/03/2024","20.1612","20.4015","20.4952","20.1251","","-1.12%"
"05/31/2024","20.3896","20.3174","20.4680","20.2152","","0.40%"
"05/30/2024","20.3086","19.8667","20.3449","19.8418","","2.17%"
"05/29/2024","19.8763","19.8463","19.9491","19.7472","","0.22%"
"05/28/2024","19.8318","19.9373","20.0504","19.8321","","-0.49%"
"05/27/2024","19.9300","19.9930","20.0340","19.8848","","-0.34%"
"05/24/2024","19.9981","19.9855","20.0413","19.8825","","0.13%"
"05/23/2024","19.9720","19.7675","20.0023","19.7222","","1.09%"
"05/22/2024","19.7558","19.6210","19.8111","19.5840","","0.76%"
"05/21/2024","19.6066","19.7705","19.8122","19.5651","","-0.75%"
"05/20/2024","19.7551","19.7389","19.8770","19.6973","","0.14%"
"05/17/2024","19.7271","19.7815","19.8405","19.7038","","-0.22%"
"05/16/2024","19.7697","19.8955","19.9275","19.7549","","-0.50%"
"05/15/2024","19.8692","19.8624","19.9369","19.8403","","0.08%"
"05/14/2024","19.8524","19.8144","19.9554","19.7845","","0.22%"
"05/13/2024","19.8094","19.8752","19.9014","19.7579","","-0.27%"
"05/10/2024","19.8634","19.9116","19.9540","19.8113","","-0.25%"
"05/09/2024","19.9125","19.9596","20.0521","19.8484","","-0.22%"
"05/08/2024","19.9555","19.9123","20.0753","19.8654","","0.27%"
"05/07/2024","19.9024","19.8976","19.9729","19.8357","","0.11%"
"05/06/2024","19.8804","19.9163","19.9751","19.8138","","-0.09%"
"05/03/2024","19.8987","19.8964","19.9700","19.8519","","0.05%"
"05/02/2024","19.8895","19.9156","20.0005","19.8262","","-0.08%"
"05/01/2024","19.9057","20.0128","20.0561","19.8576","","-0.58%"
"04/30/2024","20.0214","19.9893","20.1544","19.9548","","0.34%"
"04/29/2024","19.9526","20.1547","20.1747","19.9545","","-0.73%"
"04/26/2024","20.0990","20.4371","20.4948","20.0439","","-1.59%"
"04/25/2024","20.4231","20.5655","20.6006","20.2906","","-0.63%"
"04/24/2024","20.5533","20.4513","20.5919","20.4074","","0.54%"
"04/23/2024","20.4431","20.4521","20.5573","20.4021","","0.00%"
"04/22/2024","20.4429","20.3638","20.4585","20.3120","","0.44%"
"04/19/2024","20.3530","20.3853","20.5847","20.3071","","-0.11%"
"04/18/2024","20.3745","20.3076","20.4476","20.2244","","0.34%"
"04/17/2024","20.3053","20.2301","20.3206","20.1382","","0.45%"
"04/16/2024","20.2146","20.1788","20.2931","20.1516","","0.24%"
"04/15/2024","20.1670","20.0759","20.2537","20.0345","","0.49%"
"04/12/2024","20.0685","20.0959","20.1776","19.9207","","-0.09%"
"04/11/2024","20.0871","20.1744","20.2398","20.0448","","-0.38%"
"04/10/2024","20.1628","20.0452","20.2231","19.9979","","0.66%"
"04/09/2024","20.0311","20.2316","20.2595","20.0256","","-0.92%"
"04/08/2024","20.2167","20.2383","20.3064","20.0777","","-0.05%"
"04/05/2024","20.2265","20.2796","20.3249","20.1127","","-0.21%"
"04/04/2024","20.2697","20.2267","20.3288","20.1600","","0.23%"
"04/03/2024","20.2222","20.2179","20.3184","20.1917","","0.06%"
"04/02/2024","20.2109","20.3482","20.4245","20.1803","","-0.66%"
"04/01/2024","20.3444","20.3604","20.4537","20.2739","","-0.07%"
"03/29/2024","20.3580","20.4350","20.4576","20.3380","","-0.34%"
"03/28/2024","20.4271","20.4717","20.5949","20.4163","","-0.15%"
"03/27/2024","20.4576","20.5595","20.5803","20.4143","","-0.29%"
"03/26/2024","20.5174","20.4942","20.5990","20.4384","","0.28%"
"03/25/2024","20.4609","20.5290","20.5826","20.4386","","-0.26%"
"03/22/2024","20.5152","20.4366","20.6226","20.4235","","0.42%"
"03/21/2024","20.4284","20.4281","20.5061","20.3787","","0.08%"
"03/20/2024","20.4124","20.5572","20.6199","20.3507","","-0.58%"
"03/19/2024","20.5321","20.5969","20.6781","20.5207","","-0.29%"
"03/18/2024","20.5928","20.4173","20.6849","20.4055","","0.96%"
"03/15/2024","20.3979","20.3891","20.4528","20.3085","","0.09%"
"03/14/2024","20.3792","20.3303","20.4748","20.3007","","0.30%"
"03/13/2024","20.3174","20.4029","20.4874","20.2747","","-0.37%"
"03/12/2024","20.3934","20.4117","20.4685","20.2806","","-0.07%"
"03/11/2024","20.4080","20.4817","20.6250","20.3402","","-0.29%"
"03/08/2024","20.4673","20.4562","20.5406","20.3489","","0.09%"
"03/07/2024","20.4495","20.5193","20.5622","20.3871","","-0.31%"
"03/06/2024","20.5128","20.6021","20.6292","20.4747","","-0.36%"
"03/05/2024","20.5863","20.6621","20.7286","20.5312","","-0.34%"
"03/04/2024","20.6557","20.7281","20.7512","20.6031","","-0.27%"
"03/01/2024","20.7122","20.7419","20.8125","20.6746","","-0.11%"
"02/29/2024","20.7359","20.8784","20.9359","20.7118","","-0.64%"
"02/28/2024","20.8702","20.7138","20.9415","20.6775","","0.76%"
"02/27/2024","20.7124","20.9366","20.9713","20.6719","","-1.06%"
"02/26/2024","20.9351","20.9074","20.9918","20.8556","","0.24%"
"02/23/2024","20.8850","20.7353","20.9883","20.6828","","0.74%"
"02/22/2024","20.7323","20.4792","20.7682","20.4363","","1.29%"
"02/21/2024","20.4687","20.4369","20.5124","20.2580","","0.25%"
"02/20/2024","20.4172","20.4507","20.6012","20.4010","","-0.11%"
"02/19/2024","20.4388","20.3576","20.4842","20.2962","","0.51%"
"02/16/2024","20.3357","20.4033","20.4369","20.2938","","-0.32%"
"02/15/2024","20.4008","20.4310","20.4860","20.3482","","-0.07%"
"02/14/2024","20.4148","20.4690","20.5438","20.3764","","-0.24%"
"02/13/2024","20.4629","20.3647","20.5303","20.2528","","0.53%"
"02/12/2024","20.3547","20.5112","20.5871","20.3617","","-0.86%"
"02/09/2024","20.5310","20.4408","20.5701","20.3846","","0.51%"
"02/08/2024","20.4264","20.3522","20.4583","20.3363","","0.41%"
"02/07/2024","20.3422","20.2598","20.4004","20.2341","","0.44%"
"02/06/2024","20.2524","20.4866","20.5177","20.2363","","-1.09%"
"02/05/2024","20.4747","20.3867","20.5042","20.3336","","0.46%"
"02/02/2024","20.3814","20.2159","20.4347","20.1709","","0.86%"
"02/01/2024","20.2073","20.2024","20.3015","20.1310","","0.05%"
"01/31/2024","20.1977","20.4002","20.4002","20.1591","","-0.94%"
"01/30/2024","20.3902","20.3769","20.5171","20.3324","","0.15%"
"01/29/2024","20.3595","20.3797","20.4387","20.2734","","-0.09%"
"01/26/2024","20.3773","20.4564","20.5100","20.3525","","-0.37%"
"01/25/2024","20.4527","20.5604","20.6385","20.4067","","-0.45%"
"01/24/2024","20.5444","20.6705","20.7093","20.4912","","-0.54%"
"01/23/2024","20.6566","20.8962","20.9379","20.5937","","-1.10%"
"01/22/2024","20.8872","20.7238","20.9385","20.7057","","0.84%"
"01/19/2024","20.7140","20.5987","20.7659","20.5694","","0.64%"
"01/18/2024","20.5821","20.7426","20.8123","20.5413","","-0.71%"
"01/17/2024","20.7303","20.6331","20.8325","20.6122","","0.52%"
"01/16/2024","20.6224","20.4743","20.6575","20.4026","","0.77%"
"01/15/2024","20.4655","20.3897","20.5111","20.3797","","0.46%"
"01/12/2024","20.3713","20.4550","20.5231","20.3485","","-0.37%"
"01/11/2024","20.4462","20.5071","20.5415","20.3564","","-0.22%"
"01/10/2024","20.4910","20.4420","20.5443","20.3278","","0.28%"
"01/09/2024","20.4331","20.3766","20.4701","20.3097","","0.35%"
"01/08/2024","20.3628","20.4508","20.5752","20.3393","","-0.34%"
"01/05/2024","20.4325","20.4667","20.6461","20.4197","","-0.11%"
"01/04/2024","20.4552","20.4499","20.5526","20.3462","","0.12%"
"01/03/2024","20.4316","20.3170","20.5802","20.2341","","0.59%"
"01/02/2024","20.3109","20.2080","20.3750","20.1243","","0.59%"
"01/01/2024","20.1909","20.2071","20.2135","20.1924","","0.07%"
"12/29/2023","20.1762","20.5106","20.6128","20.1720","","-1.55%"
"12/28/2023","20.4945","20.4261","20.7108","20.3485","","0.43%"
"12/27/2023","20.4075","20.5765","20.6266","20.3529","","-0.76%"
"12/26/2023","20.5640","20.2813","20.6586","20.2813","","1.46%"
"12/25/2023","20.2675","20.3136","20.3869","20.2794","","-0.18%"
"12/22/2023","20.3048","20.2095","20.4336","20.1924","","0.53%"
"12/21/2023","20.1976","20.0548","20.2416","19.9371","","0.81%"
"12/20/2023","20.0352","20.1162","20.1490","19.9693","","-0.34%"
"12/19/2023","20.1026","20.3093","20.3556","20.0863","","-0.92%"
"12/18/2023","20.2898","19.9951","20.3739","19.9195","","1.53%"
"12/15/2023","19.9842","20.1550","20.2035","19.8500","","-0.81%"
"12/14/2023","20.1469","20.3132","20.4032","20.1010","","-0.79%"
"12/13/2023","20.3070","20.4708","20.6185","20.2719","","-0.70%"
"12/12/2023","20.4509","20.5355","20.5850","20.3755","","-0.41%"
"12/11/2023","20.5341","20.4125","20.6166","20.3918","","0.66%"
"12/08/2023","20.3989","20.2544","20.4616","20.2051","","0.78%"
"12/07/2023","20.2406","20.4217","20.4620","20.1798","","-0.81%"
"12/06/2023","20.4058","20.4619","20.5224","20.3158","","-0.20%"
"12/05/2023","20.4472","20.3782","20.5855","20.3228","","0.37%"
"12/04/2023","20.3714","20.2944","20.4208","20.2122","","0.51%"
"12/01/2023","20.2682","20.5254","20.5888","20.1876","","-1.22%"
"11/30/2023","20.5193","20.5763","20.6979","20.4715","","-0.23%"
"11/29/2023","20.5662","20.4471","20.5905","20.2822","","0.63%"
"11/28/2023","20.4369","20.4417","20.5898","20.3753","","0.03%"
"11/27/2023","20.4310","20.6087","20.6301","20.3848","","-0.76%"
"11/24/2023","20.5876","20.5185","20.7123","20.4583","","0.41%"
"11/23/2023","20.5042","20.5578","20.5767","20.4232","","-0.25%"
"11/22/2023","20.5554","20.3279","20.5832","20.2537","","1.18%"
"11/21/2023","20.3160","20.0643","20.3646","20.0210","","1.31%"
"11/20/2023","20.0532","20.0469","20.1724","19.9270","","0.09%"
"11/17/2023","20.0350","19.9257","20.0483","19.8356","","0.61%"
"11/16/2023","19.9139","19.7248","19.9963","19.6926","","1.02%"
"11/15/2023","19.7122","19.8323","19.8652","19.6747","","-0.60%"
"11/14/2023","19.8303","20.0324","20.1127","19.8053","","-0.94%"
"11/13/2023","20.0176","20.0046","20.0730","19.9409","","0.13%"
"11/10/2023","19.9909","19.9044","20.0910","19.8680","","0.52%"
"11/09/2023","19.8883","19.7766","19.9516","19.7405","","0.58%"
