Data_Date,Release_Full_Date,Time,Actual_Percent,Forecast_Percent,Previous_Percent
2016-07-01,2016-08-25,05:30,0.8,0.3,0.6
2016-06-01,2016-07-28,05:30,0.6,0.5,0.3
2016-05-01,2016-06-30,05:30,0.3,0.7,0.8
2016-04-01,2016-05-26,05:30,0.8,0.9,0.7
2016-03-01,2016-04-28,05:30,0.7,0.9,0.8
2016-02-01,2016-03-31,05:30,0.8,0.6,1.6
2016-01-01,2016-02-25,05:30,1.6,0.4,0.2
2015-12-01,2016-01-28,05:30,0.2,0.3,0.1
2015-11-01,2015-12-17,05:30,0.1,0.3,0.9
2015-10-01,2015-11-26,05:30,0.9,0.5,0.3
2015-09-01,2015-10-29,05:30,0.3,0.2,0.1
2015-08-01,2015-09-23,05:30,0.1,0.2,0.2
2015-07-01,2015-08-27,05:30,0.2,0.5,0.3
2015-06-01,2015-07-30,05:30,0.3,0.5,0.8
2015-05-01,2015-06-25,05:30,0.8,0.5,0.9
2015-04-01,2015-05-28,05:30,0.9,1.1,1.8
2015-03-01,2015-04-30,05:30,1.8,1.4,0.4
2015-02-01,2015-03-26,05:30,0.4,0.3,-1.1
2015-01-01,2015-02-26,05:30,-1.1,0.1,-0.2
2014-12-01,2015-01-29,05:30,-0.2,-0.1,0.0
2014-11-01,2014-12-18,05:30,0.0,0.1,0.3
